Pos.;Giocatore;Nazione;Punti;+/- pos.;+/- punti
134;Alex Bolt;AUS;396;1;0
135;Paolo Lorenzi;ITA;396;1;0
136;Taro Daniel;JPN;395;-19;-84
137;Jannik Sinner;ITA;395;-6;-5
138;Kimmer Coppejans;BEL;393;0;0
139;Denis Istomin;UZB;392;0;0
140;Jiri Vesely;CZE;385;0;0
141;Yasutaka Uchiyama;JPN;381;0;0
142;Gianluca Mager;ITA;381;0;0
143;Robin Haase;NED;376;11;20
144;Ilya Ivashka;BLR;376;-1;0
145;Federico Gaio;ITA;375;-1;0
146;Filippo Baldi;ITA;375;-1;0
147;Sergiy Stakhovsky;UKR;371;-1;0
148;Nikola Milojevic;SRB;368;-1;0
149;Viktor Troicki;SRB;363;-1;0
150;Alessandro Giannessi;ITA;363;-1;0
151;Marcos Giron;USA;361;4;5
152;Lukas Rosol;CZE;361;-2;0
153;Pedro Martinez Portero;ESP;358;-1;0
154;David Ferrer;ESP;355;2;0
155;Go Soeda;JPN;344;2;0
156;Marc Polmans;AUS;344;2;0
157;Federico Coria;ARG;343;-4;-14
158;Nicolas Mahut;FRA;342;1;0
159;Oscar Otte;GER;342;1;0
160;Rudolf Molleker;GER;340;1;0
161;Quentin Halys;FRA;340;1;0
162;Marcos Baghdatis;CYP;339;1;0
163;Dustin Brown;GER;338;1;0
164;Facundo Bagnis;ARG;336;1;0
165;Guillermo Garcia-Lopez;ESP;326;1;-3
166;Dudi Sela;ISR;325;1;0
167;Sebastian Ofner;AUT;324;1;0
168;Mats Moraing;GER;316;1;0
169;Enzo Couacaud;FRA;314;1;0
170;Hyeon Chung;KOR;313;-19;-45
171;Emilio Gomez;ECU;310;0;0
172;Facundo Arguello;ARG;303;0;0
173;Mikael Torpegaard;DEN;298;0;0
174;Mitchell Krueger;USA;290;0;0
175;Steven Diez;CAN;287;0;0
176;Maxime Janvier;FRA;286;0;0
177;Ramkumar Ramanathan;IND;284;0;0
178;Jack Sock;USA;280;0;0
179;Darian King;BAR;278;0;0
180;Roberto Marcora;ITA;277;0;0
181;Ruben Bemelmans;BEL;273;0;0
182;Yannick Hanfmann;GER;269;0;0
183;Alexey Vatutin;RUS;269;0;0
184;Tommy Robredo;ESP;268;0;0
185;Joao Domingues;POR;268;0;0
186;Steve Darcis;BEL;266;0;0
187;Jay Clarke;GBR;265;0;0
188;Christopher Eubanks;USA;265;0;0
189;Filip Horansky;SVK;265;0;0
190;Sumit Nagal;IND;264;0;0
191;Nicola Kuhn;GER;261;0;0
192;Peter Polansky;CAN;259;0;0
193;Adrian Menendez-Maceiras;ESP;257;0;0
194;Tallon Griekspoor;NED;253;0;0
195;Noah Rubin;USA;251;0;0
196;Michael Mmoh;USA;247;1;0
197;Donald Young;USA;245;1;0
198;Andrew Harris;AUS;245;-2;-6
199;Carlos Berlocq;ARG;243;0;0
200;Rogerio Dutra Da Silva;BRA;241;0;0
201;Constant Lestienne;FRA;241;0;0
202;Mario Vilella Martinez;ESP;241;0;0
203;Thanasi Kokkinakis;AUS;239;0;0
204;Thai Kwiatkowski;USA;239;0;0
205;Marco Trungelliti;ARG;237;0;0
206;Ernesto Escobedo;USA;237;0;0
207;Daniel Elahi Galan;COL;236;0;0
208;Duckhee Lee;KOR;236;4;10
209;Emil Ruusuvuori;FIN;234;-1;0
210;Pedja Krstin;SRB;234;-1;0
211;Joao Menezes;BRA;233;-1;0
212;Stefano Napolitano;ITA;231;-1;0
213;Hiroki Moriya;JPN;225;0;0
214;Jason Murray Kubler;AUS;224;0;0
